feature,value,beta
init,0,0.9999
AGE,Retirement Age,0.9999
AGE,Young Adult,0.9095516258074501
AGE,Middle Age,0.9999
GENDER,Male,0.9461815759348315
GENDER,NonCis,0.9999
GENDER,Female,0.9999
INDIGENOUS,0.0,0.9999
INDIGENOUS,1.0,0.8469634883353889
RACIAL_MINORITY,0.0,0.9999
RACIAL_MINORITY,1.0,0.9167790749684609
INCOME,1.0,0.9999
INCOME,2.0,0.9999
INCOME,3.0,0.9999
