feature,value,beta
init,0,0.9999
AGE,Retirement Age,0.9999
AGE,Young Adult,0.8301627649122254
AGE,Middle Age,0.9999
GENDER,Male,0.9658228765811951
GENDER,NonCis,0.8798219235938917
GENDER,Female,0.9999
INDIGENOUS,0.0,0.9999
INDIGENOUS,1.0,0.8401766628301764
RACIAL_MINORITY,0.0,0.9999
RACIAL_MINORITY,1.0,0.913023004878928
INCOME,1.0,0.9999
INCOME,2.0,0.9999
INCOME,3.0,0.9999
