feature,value,beta
init,0,0.9999
AGE,Young Adult,0.8496973384564511
AGE,Retirement Age,0.9999
AGE,Middle Age,0.9999
GENDER,Female,0.9999
GENDER,NonCis,0.9999
GENDER,Male,0.9384143901388222
INDIGENOUS,0.0,0.9999
INDIGENOUS,1.0,0.8820394881815439
RACIAL_MINORITY,0.0,0.9999
RACIAL_MINORITY,1.0,0.9259359630521333
INCOME,1.0,0.9999
INCOME,2.0,0.9999
INCOME,3.0,0.9999
