feature,value,beta
init,0,0.9999
A,A2,0.9999
A,A1,0.9384143992409848
A,A3,0.9999
L,1.0,0.8496965128516217
L,2.0,0.9999
L,3.0,0.9999
L,5.0,0.9999
D,0.0,0.9999
D,1.0,0.8820406992627439
F,0.0,0.9999
F,1.0,0.9259360858869863
N,1.0,0.9999
N,2.0,0.9999
N,3.0,0.9999
