num_alts,l1_opt_set,binary_opt_set,l1_eq_probs_alt_set,greedy_alt_set,practitioner_alt_set
1,[5923],[5812],[5808],[5798],[5925]
7,"[5798, 5803, 5804, 5812, 5813, 5921, 5924]","[5795, 5798, 5808, 5813, 5855, 5899, 5926]","[5801, 5808, 5865, 5866, 5873, 5924, 5926]","[5798, 5808, 5806, 5813, 5795, 5804, 5812]","[5803, 5807, 5808, 5884, 5896, 5924, 5925]"
13,"[5804, 5808, 5813, 5839, 5850, 5865, 5870, 5874, 5906, 5920, 5921, 5922, 5924]","[5795, 5797, 5804, 5805, 5808, 5812, 5813, 5828, 5874, 5912, 5920, 5924, 5926]","[5798, 5799, 5802, 5804, 5812, 5832, 5865, 5866, 5873, 5920, 5922, 5923, 5924]","[5798, 5808, 5806, 5813, 5795, 5804, 5812, 5807, 5810, 5874, 5802, 5821, 5923]","[5803, 5806, 5811, 5813, 5851, 5855, 5866, 5887, 5891, 5920, 5922, 5924, 5925]"
20,"[5795, 5802, 5806, 5808, 5812, 5813, 5816, 5829, 5831, 5839, 5862, 5865, 5870, 5874, 5891, 5895, 5906, 5912, 5923, 5924]","[5798, 5806, 5808, 5809, 5810, 5812, 5813, 5816, 5829, 5833, 5850, 5860, 5865, 5866, 5867, 5874, 5920, 5923, 5924, 5925]","[5795, 5797, 5803, 5804, 5808, 5811, 5813, 5814, 5821, 5841, 5851, 5865, 5874, 5887, 5906, 5909, 5912, 5920, 5923, 5924]","[5798, 5808, 5806, 5813, 5795, 5804, 5812, 5807, 5810, 5874, 5802, 5821, 5923, 5816, 5920, 5825, 5811, 5797, 5842, 5801]","[5795, 5803, 5806, 5808, 5811, 5813, 5816, 5821, 5848, 5862, 5863, 5865, 5866, 5879, 5887, 5896, 5920, 5923, 5924, 5925]"
26,"[5795, 5798, 5804, 5806, 5807, 5808, 5811, 5812, 5813, 5816, 5829, 5847, 5848, 5858, 5860, 5865, 5874, 5879, 5885, 5895, 5896, 5899, 5912, 5923, 5924, 5926]","[5795, 5802, 5804, 5806, 5807, 5808, 5810, 5811, 5813, 5816, 5825, 5855, 5859, 5865, 5874, 5875, 5885, 5896, 5897, 5899, 5912, 5920, 5923, 5924, 5925, 5926]","[5795, 5797, 5798, 5802, 5803, 5804, 5806, 5808, 5809, 5813, 5818, 5829, 5849, 5850, 5851, 5855, 5857, 5860, 5865, 5872, 5874, 5887, 5917, 5920, 5923, 5924]","[5798, 5808, 5806, 5813, 5795, 5804, 5812, 5807, 5810, 5874, 5802, 5821, 5923, 5816, 5920, 5825, 5811, 5797, 5842, 5801, 5855, 5860, 5827, 5796, 5814, 5815]","[5795, 5803, 5806, 5812, 5813, 5816, 5840, 5842, 5848, 5851, 5855, 5858, 5860, 5865, 5874, 5878, 5884, 5891, 5896, 5897, 5899, 5912, 5920, 5922, 5923, 5924]"
33,"[5795, 5804, 5806, 5808, 5811, 5812, 5813, 5816, 5821, 5825, 5829, 5839, 5842, 5850, 5860, 5865, 5869, 5873, 5874, 5875, 5885, 5891, 5895, 5897, 5899, 5901, 5910, 5912, 5915, 5917, 5922, 5923, 5924]","[5795, 5798, 5804, 5806, 5807, 5808, 5810, 5811, 5812, 5813, 5816, 5823, 5825, 5829, 5839, 5850, 5855, 5860, 5865, 5874, 5875, 5885, 5886, 5891, 5892, 5895, 5899, 5906, 5915, 5920, 5923, 5924, 5926]","[5795, 5798, 5803, 5804, 5807, 5808, 5813, 5816, 5821, 5829, 5847, 5850, 5851, 5855, 5860, 5863, 5865, 5866, 5872, 5874, 5879, 5884, 5885, 5892, 5899, 5901, 5906, 5907, 5910, 5920, 5922, 5923, 5924]","[5798, 5808, 5806, 5813, 5795, 5804, 5812, 5807, 5810, 5874, 5802, 5821, 5923, 5816, 5920, 5825, 5811, 5797, 5842, 5801, 5855, 5860, 5827, 5796, 5814, 5815, 5866, 5851, 5818, 5879, 5803, 5820, 5887]","[5795, 5798, 5802, 5803, 5805, 5806, 5812, 5813, 5816, 5821, 5825, 5842, 5851, 5855, 5860, 5865, 5866, 5874, 5875, 5879, 5887, 5891, 5896, 5899, 5906, 5910, 5912, 5915, 5920, 5922, 5923, 5924, 5925]"
