code,dropout_prob
2305,0.23363876106896908
2306,0.21372117225627185
2309,0.17248956335623122
2312,0.12654327265383203
2313,0.0864614308954561
2314,0.24821944591151213
2317,0.23363876106896908
2319,0.45494987610611193
2321,0.22395841426804308
2323,0.07477162302482199
2325,0.0864614308954561
2330,0.22703337349678776
2332,0.39186791898707274
2333,0.16203680609090954
2334,0.23363876106896908
2341,0.24821944591151213
2348,0.02591611257760784
2350,0.14025829552879354
2355,0.2841206949095063
2356,0.14025829552879354
2357,0.06308453460726238
2361,0.26726314316670075
2365,0.0864614308954561
2366,0.21402804313360813
2367,0.30453573316005755
2369,0.21402804313360813
2376,0.06271873011723783
2379,0.12654327265383203
