feature,value,beta
init,0,0.9999
A,A3,0.7651723467843181
A,A1,0.8460992157583479
A,A2,0.9999
L,1.0,0.9410151673494147
L,2.0,0.9999
L,3.0,0.9478922249064662
L,5.0,0.9674337223382566
D,0.0,0.9455384458836981
D,1.0,0.9999
F,0.0,0.980689546507001
F,1.0,0.9999
C,C2,0.9988539674266067
C,C1,0.9999
C,C3,0.9590479041770713
