feature,value,beta
init,0,0.9999
A,A2,0.9999
A,A3,0.7938332262455388
A,A1,0.8613291145166351
L,1.0,0.8993433690187727
L,2.0,0.9999
L,3.0,0.9335837964644935
L,5.0,0.9700221631009508
D,0.0,0.9447908899119806
D,1.0,0.9999
F,0.0,0.9963585250004933
F,1.0,0.9999
C,C2,0.992111402047136
C,C3,0.9735516765624385
C,C1,0.9999
