feature,value,beta
init,0,0.9999
AGE,1.0,0.8993339052586288
AGE,2.0,0.9999
AGE,3.0,0.9335878615738783
AGE,5.0,0.9700508925895437
GENDER,Female,0.9999
GENDER,NonCis,0.7940871254724099
GENDER,Male,0.8613054992131505
INDIGENOUS,0.0,0.9447957029534855
INDIGENOUS,1.0,0.9999
RACIAL_MINORITY,0.0,0.9963554381709053
RACIAL_MINORITY,1.0,0.9999
HOUSING,rent,0.9921081375552911
HOUSING,own,0.9999
HOUSING,subsidized or unstable,0.9735434879143823
