feature,value,beta
init,0,0.9999
AGE,1.0,0.847419159192307
AGE,2.0,0.9999
AGE,3.0,0.9163222916593712
AGE,5.0,0.9813177204872995
GENDER,Male,0.8984213810731485
GENDER,NonCis,0.8460716592897508
GENDER,Female,0.9999
INDIGENOUS,0.0,0.9301117871928116
INDIGENOUS,1.0,0.9999
RACIAL_MINORITY,0.0,0.9999
RACIAL_MINORITY,1.0,0.9999
HOUSING,own,0.9999
HOUSING,subsidized or unstable,0.9936203507740063
HOUSING,rent,0.9999
