feature,value,beta
init,0,0.9999
A,A3,0.8460727521717287
A,A1,0.8984267895048517
A,A2,0.9999
L,1.0,0.8474019672145419
L,2.0,0.9999
L,3.0,0.916307078483096
L,5.0,0.9813069168824133
D,0.0,0.9301193931763642
D,1.0,0.9999
F,0.0,0.9999
F,1.0,0.9999
C,C2,0.9999
C,C1,0.9999
C,C3,0.9935849886388582
