feature,value,beta
init,0,0.9999
A,A3,0.8091338883643734
A,A1,0.851544149855645
A,A2,0.9999
L,1.0,0.9227352598616119
L,2.0,0.9999
L,3.0,0.9756363058806016
L,5.0,0.9883071451373453
D,0.0,0.9999
D,1.0,0.9999
F,0.0,0.9549757251373925
F,1.0,0.9999
C,C2,0.9351290594839982
C,C1,0.9999
C,C3,0.9015553263478623
