feature,value,beta
init,0,0.9999
A,A3,0.5528723690101537
A,A1,0.8441219802131451
A,A2,0.9999
L,1.0,0.9666576686085312
L,2.0,0.9999
L,3.0,0.8871012463407643
L,5.0,0.9269420917996566
D,0.0,0.9999
D,1.0,0.9999
F,0.0,0.9999
F,1.0,0.9619019990968299
C,C2,0.9358297092179664
C,C1,0.9999
C,C3,0.9999
