feature,value,beta
init,0,0.9999
A,A3,0.9999
A,A1,0.8625020806500366
A,A2,0.9999
L,1.0,0.931161359591398
L,2.0,0.9999
L,3.0,0.955916351601326
L,5.0,0.9596810053455046
D,0.0,0.9281628415804477
D,1.0,0.9999
F,0.0,0.9999
F,1.0,0.9999
C,C2,0.9999
C,C1,0.9999
C,C3,0.909979471956407
