code,dropout_prob
101,0.03346940046255953
1732,0.12499086157740869
2640,0.21332310815215472
4752-2,0.2529093832263448
8499-2,0.1310407462822023
10741,0.1428486024796296
14219,0.10148937973852867
15224,0.0005998500199982937
18568,0.014180202843404377
24159,0.7140562355464515
24861,0.0005998500199982937
29881,0.20653374316177975
32576,0.12997182425012765
36784,0.09790736450254345
40341-2,0.35041904403937185
43527,0.1310407462822023
46212-1,0.7474857577296508
46697,0.1428486024796296
47693,0.1310407462822023
48896,0.1310407462822023
53934,0.04660310527198863
61601,0.1428486024796296
64392-2,0.10148937973852867
65888-1,0.10148937973852867
70485-1,0.0005998500199982937
73255,0.12499086157740869
73597,0.0005998500199982937
73786,0.12997182425012765
79216,0.19999432653293214
80113,0.03346940046255953
66097-2,0.17155387765290753
9253-1,0.11369879479512268
1014,0.08742522426060895
757,0.10148937973852867
43564-2,0.1310407462822023
67136,0.04660310527198863
3031,0.12997182425012765
44016,0.03346940046255953
80029,0.03346940046255953
64810,0.03346940046255953
1247,0.0005998500199982937
2202,0.1310407462822023
3420,0.08742522426060895
3868,0.23919634399178047
4009,0.10148937973852867
4038,0.10148937973852867
1041673,0.17954972510162126
4996,0.12499086157740869
5415,0.014180202843404377
5820,0.12499086157740869
6294,0.03346940046255953
1738556,0.0005998500199982937
1738587,0.10148937973852867
7943,0.03346940046255953
7972,0.11369879479512268
2410238,0.03346940046255953
9005,0.11743915073878197
2685662,0.014180202843404377
9540,0.10148937973852867
10063,0.03346940046255953
10077,0.0005998500199982937
10450,0.12499086157740869
12492,0.10148937973852867
13067-1,0.7578803672396153
13067-2,0.23919634399178047
14009,0.0005998500199982937
14391,0.21332310815215472
14728,0.04660310527198863
15425,0.15376928132615375
17675,0.12499086157740869
17707-1,0.1310407462822023
17707-2,0.03346940046255953
17975,0.1310407462822023
18314-1,0.0005998500199982937
18314-2,0.10148937973852867
20390,0.10148937973852867
21308,0.15376928132615375
22198,0.07853156072535072
23249,0.0005998500199982937
24037,0.11369879479512268
24056-1,0.11369879479512268
24056-2,0.014180202843404377
24091,0.12499086157740869
25334,0.04660310527198863
26001,0.1310407462822023
26083,0.12499086157740869
26147,0.1428486024796296
26653,0.11743915073878197
27362,0.11743915073878197
27368,0.15858642372745624
28354,0.15376928132615375
28641,0.03346940046255953
28650,0.0005998500199982937
29328,0.11743915073878197
29563,0.11743915073878197
29942,0.08742522426060895
30699,0.1310407462822023
31048,0.0005998500199982937
31534,0.08742522426060895
32620,0.10148937973852867
32747,0.10148937973852867
32772,0.1310407462822023
32786,0.08742522426060895
33577,0.014180202843404377
33893,0.0005998500199982937
34016,0.03346940046255953
36204,0.21332310815215472
36573-1,0.1310407462822023
36573-2,0.03346940046255953
37246,0.16139249616925633
37469,0.10148937973852867
37686,0.014180202843404377
39031,0.11743915073878197
39383,0.0005998500199982937
39572,0.1310407462822023
40109,0.04660310527198863
40341-1,0.1310407462822023
42043-1,0.10148937973852867
42043-2,0.12499086157740869
42063,0.0005998500199982937
42319,0.11743915073878197
43359,0.10148937973852867
43435,0.0005998500199982937
43514,0.10148937973852867
43564-1,0.03346940046255953
43800-1,0.10148937973852867
43800-2,0.0005998500199982937
43851,0.1310407462822023
43866,0.1310407462822023
44000,0.08742522426060895
44076,0.10148937973852867
46212-2,0.7729770918568233
46212-3,0.03346940046255953
46293,0.04660310527198863
47530,0.20653374316177975
47836,0.03346940046255953
47874,0.11743915073878197
48008,0.08742522426060895
48351,0.1310407462822023
48425,0.23919634399178047
48525,0.04660310527198863
48530,0.1310407462822023
48645,0.12499086157740869
49069,0.10148937973852867
49246,0.23919634399178047
49303,0.03346940046255953
49363,0.0005998500199982937
50591,0.1428486024796296
50959,0.15376928132615375
51264,0.04660310527198863
52327,0.03346940046255953
52721,0.2774806550174259
52958,0.03346940046255953
54355,0.15376928132615375
54867-1,0.12499086157740869
54867-2,0.1310407462822023
55137,0.20653374316177975
55267,0.03346940046255953
57107,0.17954972510162126
57452,0.08742522426060895
57537,0.21332310815215472
57884,0.17954972510162126
57978,0.03346940046255953
58148,0.10148937973852867
59149,0.14826598875480468
59371,0.11743915073878197
59759,0.1310407462822023
59924,0.1428486024796296
60108,0.10148937973852867
60110,0.03346940046255953
60387,0.03346940046255953
61920,0.0005998500199982937
63768,0.10148937973852867
64009,0.0005998500199982937
64207,0.23919634399178047
64392-1,0.0005998500199982937
64539,0.10148937973852867
64823,0.21332310815215472
64882,0.0005998500199982937
64924,0.21332310815215472
65063,0.0005998500199982937
65846,0.10148937973852867
65888-2,0.08742522426060895
65888-3,0.17954972510162126
65989-1,0.07853156072535072
65989-2,0.1310407462822023
66097-1,0.03346940046255953
66998,0.2529093832263448
67255,0.2529093832263448
67353,0.15376928132615375
67370-1,0.10148937973852867
67370-2,0.0005998500199982937
67625,0.1310407462822023
67903,0.03346940046255953
67927,0.10148937973852867
67989,0.0005998500199982937
68488,0.1428486024796296
68997,0.12499086157740869
69407,0.12499086157740869
69829,0.10148937973852867
70369-1,0.08742522426060895
70369-2,0.17954972510162126
70485-2,0.0005998500199982937
71122,0.10148937973852867
71613,0.10148937973852867
71721,0.0005998500199982937
72023,0.014180202843404377
72127,0.08742522426060895
72242,0.08742522426060895
72367,0.08742522426060895
72384,0.12499086157740869
72593,0.03346940046255953
73167,0.12499086157740869
73318,0.03346940046255953
74029,0.0005998500199982937
74813,0.23919634399178047
74884,0.23919634399178047
75249,0.04660310527198863
75808,0.0005998500199982937
75956,0.12499086157740869
77858-1,0.11743915073878197
77858-2,0.0005998500199982937
77927,0.10148937973852867
78044,0.1310407462822023
78991,0.1310407462822023
79659,0.15376928132615375
79728-1,0.0005998500199982937
79728-2,0.10148937973852867
81222-1,0.1310407462822023
81222-2,0.03346940046255953
81679,0.03346940046255953
82398,0.21332310815215472
83304,0.04660310527198863
83362,0.15376928132615375
83467,0.1428486024796296
84228,0.10148937973852867
84621,0.21332310815215472
84815,0.20653374316177975
85513,0.10148937973852867
